INIT wls1
PACKET eth:ethertype:arp,1555280007.102692,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:ip:udp:bootp,1555280007.871494,F4:60:E2:B1:9A:9E
PACKET eth:ethertype:arp,1555280007.873444,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:ip:udp:bootp,1555280008.073160,F4:60:E2:B1:9A:9E
PACKET eth:ethertype:arp,1555280008.104116,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:ip:udp:bootp,1555280008.475334,F4:60:E2:B1:9A:9E
PACKET eth:ethertype:ip:udp:bootp,1555280008.890760,F4:60:E2:B1:9A:9E
PACKET eth:ethertype:arp,1555280008.987849,F4:60:E2:B1:9A:9E,10.100.102.14,10.100.102.1
PACKET eth:ethertype:arp,1555280060.534514,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280060.534533,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280220.580185,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280220.580205,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280221.480935,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280221.480955,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280222.730589,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.10
PACKET eth:ethertype:arp,1555280224.881005,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.11
PACKET eth:ethertype:arp,1555280227.031441,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280228.055444,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280402.950961,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280402.950986,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280403.009224,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280403.012154,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280530.239784,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280530.239804,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280531.150303,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280531.150323,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280532.492594,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.11
PACKET eth:ethertype:arp,1555280534.643020,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280535.667027,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280561.340196,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280818.231597,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280818.231611,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280838.056223,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.11
PACKET eth:ethertype:arp,1555280840.206643,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.14
PACKET eth:ethertype:arp,1555280871.159662,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280871.159695,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555280914.343757,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280914.343774,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:ip:udp:bootp,1555280929.433449,00:21:6A:C0:38:F2
PACKET eth:ethertype:ip:udp:bootp,1555280929.442753,8C:59:C3:F0:BF:2D
PACKET eth:ethertype:arp,1555280974.935827,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555280974.935837,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555281010.183808,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555281010.183822,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555281050.103948,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555281050.103968,00:21:6A:C0:38:F2,10.100.102.17,10.100.102.1
PACKET eth:ethertype:arp,1555281143.722138,8C:59:C3:F0:BF:2D,10.100.102.1,10.100.102.17
PACKET eth:ethertype:arp,1555281143.722153,00:21:6A:C0:38:
